4115 199;
1111000011111111110001111111011110111111111101111111111110001111000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000110010010010010010011101010101010111;198726
1111000011111111110001111111101110111111111101111111000111110000000000000111100000000000111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197148
1111000011100111110001111000001110111111111101100000000000000000000000000000000000000000111111111011101011010101001111110110111011101111000001111000001111000001000000000000000000000001101010101010101;191286
1111000011111111110001111111111110111111111101111111111111111111000000000111110001000111111111111111111011010101111111111110111011111111000001111000001111000001111110010010010011100001101010101110101;201139
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199032
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198327
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197618
1111000011111111110001111111101110111111111101111111111111111000100010001111110001000111111111111111111011010101111111111110111011111111000001111000001111000001111000000000000000000001101010101010101;199360
1111000011111111110001111000001110111111111101111111000110001000100010001111110001000110111111111111111011010101001111111110111011101111000001111000001111000001000000000000000000000001101010101010101;194770
1111000011111111110001111000001110111111111101111111111110001000100010001111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000000000000000000000001101010101010101;195005
1111000011111111110001111111101110111111111101111111111111111000100010001111110001000111111111111111111011010101111111111110111011111111000001111000001111000001111000000000000000000001101010101010101;199346
1111000011111111110001111000001110111111111111111111111110001000100010001111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000000000000000000000001101010101010101;195076
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198092
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199502
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197857
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199972
1111000011111111110001111111101110111111111101111111111111111000100010001111110001000111111111111111111011110101001111111110111011101111000001111000001111111011111000000000000000000001101010101010101;202790
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198562
1111000011111111110001111000001110111111111101111111111110001000100010001111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000000000000000000000001101010101010101;196184
1111000011111111110001111111111110111111111101111111111111111111000000000111110001000111111111111111111011110101001111111110111011101111000001111000001111111011111111100000000000000001111010101010101;200084
1111000011111111110001111111011110111111111101111111111110001111000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000111100000000000000001111010101010101;198546
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197383
1111000011111111110001111111011110111111111101111111111110001111000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000110010011100000000001101011101010101;198478
1111000011111111110001111111111110111111111101111111111111111111000000000111110001000111111111111111111111010101001111111110111111101111000001111000001111000001111110010010010010010011101010101010111;200413
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198327
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198562
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199502
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199502
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199972
1111000011111111110001111111101110111111111101111111000111110000000000000111100000000000111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197148
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198562
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198797
1111000011111111110001111000001110111111111101111111111110001000100010001111110001000111111111111111111011010101001111111110111011101111000001111000001111000001000000000000000000000001101010101010101;195005
1111000011111111110001111111111110111111111101111111111111111111000000000111110001000111111111111111111111010101001111111110111111101111000001111000001111000001111110010010010010011101101010101011101;202156
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;198562
1111000011111111110001111111101110111111111101111111111111111000100010001111110001000111111111111111111011110101001111111110111011101111000001111000001111111011111000000000000000000001101010101010101;199399
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197857
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;197857
1111000011111111110001111111101110111111111101111111111111110000000000000111110001000111111111111111111011010101001111111110111011101111000001111000001111000001111000000000000000000001101010101010101;199737
