5542 242;
11111011111110000000010000000000000000000000000000000000001111111111110101001000011111111010111111111111111011011111000000000111010011110001110000000000111111100111100000111110000000000000011111111111111111111111111111111111100110011100011000;115473
11111011111111011010110000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;116169
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;116964
11111011111110000000010000000000000000000000000000000000000011111111010101001000011111111010111111111101111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;108421
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;126681
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111110000000000000000000000000000111010011010000000000000000100110000000000000011110000000000000011110100000000011111100111011111111100110010000111000;112168
11111011111111011010110000000000000000000000000001111111111111111111010101001110111111111010111111111111111011011111000000000111010011110000000000000000111111100110000110111111111111111101100000111111111111111111111111111111100110011100011000;122865
11111011111110000000010000000000000000000000000001111111111111111111010101001110111111111010111111111111111011011111000000000111010011110000000000000000111111100110000110111111111111111101100000111111111111111111111111111111100110011100011000;120808
11111011111110000000010000000000000000000000000001111111111111111111010101001110111111111010111111111111111011011111000000000111010011110000000000000000111111100110000110111111111111111101100000111111111111111111111111111111100110011100011000;120108
11111011111110000000010000000000000000000000000001111111110011111111010101001110111111111010111111111111111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;108511
11111011111111011011010000000000000000000000000001111111111111111111010101001110111111111010111111111101111011011111000000000111010011110000000000000000111111100110000110111111111111111111111111111110011111111111111111111111100110011100011000;120158
11111011111111011011010000000000000000000000000001111111111111111111010101001110111111111010111111111101111011011111000000000111010011110000000000000000111111100110000110111111111111111111111111111110011111111111111111111111100110011100011000;119897
11111011111111011011010000000000000000000000000001111111110011111111010101001110111111111010111111111101111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;108609
00011011111110000000010000000000000000000000000001111111110011111111110101001110111111111010111111111000001011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100110011111000000;111402
00011011111110000000010000000000000000000000000001111111110011111111110101001110111111111010111111111000001011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100110011111000000;111402
00011011111111011010111110011101111011111111111111111111110011111111110101111110111111111010111111111000001011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100110011111000000;114981
00011011111111011010111110011101111011111111111111111111110011111111110101111110111111111010111111111000001011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100110011111000000;114981
11111011111111011010111110011101111111111111111111111111111111111111110101111110111111111010111111111101111011011111111111111111010011110001110001111110111111100111111110111111111111111111111111111110011111111111111111111111100110011100011000;130547
11111011111111011010111110011101111111111111111111111111111111111111110101111110111111111010111111111101111011011111111111111111010011110001110001111110111111100111111110111111111111111111111111111110011111111111111111111111100110011100011000;130271
11111011111110000000011110011101111011111001111111111111111111111111010101111110111111111010111111111111111011011111111111111111010011110000000001110000111111100110011110111111111111111111111111111111111111111111111111111111100110011100011000;124142
11111011111110000000011110011101111011111001111111111111110011111111010101111110111111111010111111111111111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;110185
11111011111111011100010000000000000000000000000001111111111111111111010101001110111111111010111111111101111011011111000000000111010011110000000000000000111111100110000110111111111111111011111110100000000011111100111011111111100110011100011000;124592
11111011111111011100010000000000000000000000000001111111111111111111010101001110111111111010111111111101111011011111000000000111010011110000000000000000111111100110000110111111111111111011111110100000000011111100111011111111100110011100011000;120869
11111011111111011010110000000000000000000000000001111111111111111111010101001110111111111010111111111111111011011111000000000111010011110000000000000000111111100110000110111111111111111011111111100000000011111100111011111111100110011100011000;121006
11111011111111011010110000000000000000000000000001111111110011111111010101001110111111111010111111111111111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;109132
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111100001111010011110000000001010000111111100110000000111110000000000000011111100000000011111100111011111111100110011100011000;119705
11111011111111011010111110011101111011111110111111111111111111111111010111111110111111111010111111111111111011011111111111111111010011110000001010001110111111100110011110111111111111111011111111100000000011111100111011111111100110011100011000;120491
11111011111111011010111110011101111011111110111111111111111111111111010101111110111111111010111111111111111011011111111111111111010011110000000000001110111111100110011110111111111111111101111111111111111111111111111111111111100110011100011000;120012
11111011111110000000011110011101111011111110111111111111111111111111110101111110111111111010111110000000000000000000111110011111010011110001110000001110111111100111111110111111111111111101111111111100000111111111111111111111100110010000111000;116333
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111110011111010011110000000001011110111111100110011000111110000000000000011111100000000011111100111011111111100110011100011000;120389
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111110011111010011110000000001011110111111100110011000111110000000000000011111100000000011111100111011111111100110011100011000;120610
11111011111111011010111110011101111011111111111111111111111111111111010111111110111111111010111111111111111011011111111111111111010011110000001011111110111111100110011110111111111111111011111111100000000011111100111011111111100110011100011000;120020
11111011111111011010111110011101111011111111111111111111111111111111010101111110111111111010111111111111111011011111111111111111010011110000000001111110111111100110011110111111111111111101111111111111111111111111111111111111100110011100011000;119688
11111011111111011010111110011101111011111111111111111111111111111111110101111110111111111010111111111111111011011111111111111111010011110001110001111110111111100111111110111111111111111101111111111111111111111111111111111111100110011100011000;119055
11111011111110000000011110011101111011111111111110000000001111111111010101111000011111111010111110000000000000000000111111111111010011110000000001111110111111100110011000111110000000000000011111111100000111111111111111111111100110010000111000;118723
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111111111111010011110000000001111110111111100110011000111110000000000000011111111111111111111111111111111111100110011100011000;120465
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111111111111010011110000000001111110111111100110011000111110000000000000011111111111111111111111111111111111100110011100011000;120065
11111011111110000000011110011101111011111111111110000000001111111111010101111000011111111010111110000000000000000000111111111111010011110000000001111110111111100110011000111110000000000000011111111100000111111111111111111111100110010000111000;119123
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111111110011111010011110000000001011110111111100110011000111110000000000000011111100000000011111100111011111111100110011100011000;120210
11111011111111011111010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111100000000011111100111011111111100110011100011000;116086
11111011111110000000011110011101111011111110111111111111111111111111010101111110111111111010111111111101111011011111111110011111010011110000000000001110111111100110011110111111111111111101111111111110011111111111111111111111100110011100011000;118616
11111011111110000000011110011101111011111110111111111111111111111111010101111110111111111010111111111101111011011111111110011111010011110000000000001110111111100110011110111111111111111101111111111110011111111111111111111111100110011100011000;118216
11111011111110000000011110011101111011111110111111111111110011111111010101111110111111111010111111111101111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;110259
11111011111110000000010000000000000000000000000000000000001111111111110101001000011111111010111111111110011011011111000000000111010011110001110000000000111111100111100000111110000000000000011111111111101111111111111111111111100110011100011000;115649
11111011111110000000011110011101111011111001111110000000001111111111010101111000011111111010111111111110011011011111111111111111010011110000000001110000111111100110011000111110000000000000011111111111101111111111111111111111100110011100011000;117393
11111011111110000000011110011101111011111001111110000000001111111111010101111000011111111010111111111110011011011111111111111111010011110000000001110000111111100110011000111110000000000000011111111111101111111111111111111111100110011100011000;116937
11111011111110000000011110011101111011111001111110000000000011111111010101111000011111111010111111111110011011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;109628
11111011111111011100011110011101111011111001111110000000001111111111010101111000011111111010111111111111111011011111111111111111010011110000000001110000111111100110011000111110000000000000011111111111111111111111111111111111100110011100011000;117740
11111011111111011100011110011101111011111001111110000000001111111111010101111000011111111010111111111111111011011111111111111111010011110000000001110000111111100110011000111110000000000000011111111111111111111111111111111111100110011100011000;117284
11111011111111011100011110011101111011111001111110000000000011111111010101111000011111111010111111111111111011011111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011100110011100011000;109709
11111011111111011100011110011101111011111001111110000000001111111111010101111000011111111010111111111111111011011111111111111111010011110000000001110000111111100110011000111110000000000000011111111111111111111111111111111111100110011100011000;117971
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111100000000011111100111011111111100110011100011000;116189
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111100000000011111100111011111111100110011100011000;115789
11111011111110000000010000000000000000000000000000000000001111111111010111001000011111111010111111111101111011011111000000000111010011110000001110000000111111100111100000111110000000000000011111111110011111111111111111111111100110011100011000;117434
11111011111111011010110000000000000000000000000000000000001111111111010101001000011111111010111111111111111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111111111111111111111111111111100110011100011000;148009
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;116041
11111011111111011010110000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;129236
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;135319
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;131387
11111011111111011010110000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;135660
00011011111110000000011110011101111011111001111111111111110011111111110101111111111111111100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100111100000000000;113912
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111110011011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111111101111111111111111111111100110011100011000;114617
00011111111110000000010000000000000000000000000000000000000011111111010101001000011111111010111111111111111011101111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100110011111000000;122713
11111011111110000000010000000000000000000000000000000000001111111111010101001000011111111010111111111101111011011111000000000111010011110000000000000000111111100110000000111110000000000000011111111110011111111111111111111111100110011100011000;124965
00011111111111011010111110011101111111111110111111100111110011111111110101111110111111111011011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100111100000000000;146022
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111000000000111010011010000000000000000100110000000000000011110000000000000011110100000000011111100111011111111100110011100011000;119210
11111011111111011010111110011101111011111111111110000000001111111111010101111000011111111010111111111111111011011111000000000111010011010000000000000000100110000000000000011110000000000000011110100000000011111100111011111111100110011100011000;118947
00011011111110000000010000000000000000000000000001111111110011111111010101001111111111111100011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100111100000000000;111662
