2710 128;
11111111110110111000000000011111111111110110000000000000000000000000000000001111111001100000000000000000000111111111111101111110;193429
11111111110110111000000000011111111111110110000000000000000000000000000000001111111001100000000000000000000111111111111101111110;190948
11111111111110111111111111111111111111110111110011111111111100111111111111111111111001111111111111111111111111111111111101111111;283961
11111111111110111111111101111111111111110110000011111011111111011111111111111111111001111111110011111111111111111111111101111111;243126
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;266999
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111111111111;456645
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;378502
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;293833
11111111111110111111111101111111111111110110000011111011111111011111111000001111111001111111110011111110011111111111111101111110;228000
11111111111110111111000011111111111111110111100011111000011111011111111000001111111001111100111111001110011111111111111101111110;214269
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;317236
11111111111110111111111111111111111111110111111111111111111100111111111111111111111111111111111111111111111111111111111101111111;288549
11111111111110111111111111111111111111110111111111111111011100111111111111111111111111111111111111111111111111111111111111111111;274483
11111111111110111111111111111111111111110111111111111011111111011111111111111111111001111111111111110001101111111111111111111111;238562
11111111111110111111111111111111111111110111110011111011111111111111111111111111111001111111111111111111101111111111111101111111;253246
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;501274
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;663091
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;326294
11111111111110111111111111111111111111110111110011100111011100111111111111111111111111111111111111111111111111111111111101111111;259602
11111111111110111111111111111111111111110111100011111111111111011111111111111111111111111111111111111111111111111111111111111111;267723
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;388830
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;280923
11111111111110111111111111111111111111110111110011111111111100111111111111111111111001111111111111111111111111111111111101111111;257133
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;419746
11111111111110111111111111111111111111110111110011111011111111011111111111111111111001111111111111110001101111111111111101111111;229289
11111111111110111111000011111111111111110111111111111000011111011111111000001111111001111100111111001110011111111111111111111111;226314
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;305995
11111111111110111111111111111111111111110111100011100111011111111111111111111111111001111111111111111111111111111111111101111111;287770
11111111111110111111111111111111111111110111111111100111011100111111111111111111111001111111111111111111111111111111111111111111;258486
11111111111110111111111111111111111111110111100011111111011100111111111111111111111001111111111111111111111111111111111101111111;238045
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;479219
11111111110110111000000000011111111111110110000000000000000000000000000000001111111001100000000000000000000111111111111101111110;192312
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;257325
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;315253
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;402761
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;330872
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;496664
11111111111110111111111111111111111111110111110011111111111111011111111111111111111001111111111111111111111111111111111101111111;248133
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;236591
11111111111110111111111111111111111111110111110011111111111111011111111111111111111001111111111111111111111111111111111101111111;239679
11111111111110111111111111111111111111110111110011111111111111011111111111111111111001111111111111111111111111111111111101111111;237582
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;286168
11111111111110111111111111111111111111110111111111100111011100111111111111111111111111111111111111111111111111111111111111111111;252204
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;283929
11111111111110111111111111111111111111110111111111111011111111011111111000001111111001111111111111111110011111111111111111111111;262870
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;470115
11111111111110111111111111111111111111110111110011111111111100111111111111111111111001111111111111111111111111111111111101111111;382769
11111111111110111111110011111111111111110111110011111100000000011111111111111111111001111111001111000001111111111111111101111111;216166
11111111111110111111111111111111111111110111110011111111111111011111111111111111111111111111111111111111111111111111111101111111;264356
11111111111110111111111111111111111111110111111111111011111111011111111111111111111001111111111111111111111111111111111111111111;247611
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;486256
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;513907
11111111111110111111111111111111111111110111110011111111011111111111111111111111111001111111111111111111111111111111111101111111;263712
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;312161
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;304377
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;556521
11111111111110111111111111111111111111110111111111111011111111111111111111111111111001111111111111111111111111111111111101111111;297460
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;307206
11111111111110111111111111111111111111110111110011111111111100111111111111111111111001111111111111111111111111111111111101111111;258747
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;237472
11111111111110111111111101111111111111110110000000000011011111000000000000001111111001111111110000110000001111111111111101111111;202043
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;294760
11111111110110111000000000011111111111110110000000000000000000000000000000001111111001100000000000000000000111111111111101111110;191602
11111111111110111111111111111111111111110111100011111011111111111111111111111111111111111111111111111111111111111111111101111111;281229
11111111111110111111111111111111111111110111110011100111011100111111111111111111111001111111111111111111111111111111111101111111;281588
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;403844
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;281521
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;315999
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;414164
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;564456
11111111111110111111111111111111111111110111100011100111011111111111111111111111111001111111111111111111111111111111111101111111;299115
11111111111110111111110011111111111111110111111111111100011111011111111111111111111001111111111111001111111111111111111101111111;223179
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111111111111;446555
11111111111110111111111101111111111111110110000011111011111111011111111111111111111111111111110011111111111111111111111101111111;243818
11111111111110111111111111111111111111110111100011100111011111111111111111111111111001111111111111111111111111111111111101111111;290244
11111111111110111111111111111111111111110111100011111111011100111111111111111111111001111111111111111111111111111111111101111111;233233
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;485924
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;375824
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;399864
11111111111110111111110011111111111111110111111111111100011111011111111111111111111001111111111111001111111111111111111111111111;241834
11111111111110111111111111111111111111110111110011111111111100111111111111111111111001111111111111111111111111111111111101111111;267499
11111111111110111111111111111111111111110111100011111011111111111111111111111111111111111111111111111111111111111111111101111111;287180
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;274225
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;567695
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;324058
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;373426
11111111111110111111111111111111111111110111110011111111011100111111111111111111111001111111111111111111111111111111111101111111;273601
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;297957
11111111111110111111111111111111111111110111100011111011111111011111111000001111111001111111111111111110001111111111111101111111;217684
11111111111110111111111101111111111111110110000011111111111111011111111111111111111001111111110011111111111111111111111101111111;246361
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;455165
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;272838
11111111111110111111111111111111111111110111110011100111011100111111111111111111111001111111111111111111111111111111111101111111;276791
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111101111111;261119
11111111110110111000000000011111111111110110000000000000000000000000000000001111111001100000000000000000000111111111111101111110;192958
11111111111110111111000011111111111111110111111111111000011111011111111000001111111001111100111111001110011111111111111111111110;229790
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;324602
11111111111110111111111111111111111111110111111111111011111111011111111000001111111111111111111111111110011111111111111111111111;285039
11111111111110111111000001111111111111110110000000000000011111011111111111111111111001111100110000000001101111111111111101111111;216449
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;495559
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;359726
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;385016
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;321904
11111111111110111111111111111111111111110111111111111011111111111111111111111111111001111111111111111111111111111111111111111111;292177
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;317479
11111111111110111111111111111111111111110111111111111011111111011111111000001111111001111111111111111110011111111111111111111110;225213
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;445480
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;419713
11111111111110111111111111111111111111110111110011100111011100111111111111111111111001111111111111111111111111111111111101111111;258751
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;348646
11111111111110111111111111111111111111110111110011100111011111111111111111111111111111111111111111111111111111111111111101111111;303310
11111111111110111111111111111111111111110111111111100111011111111111111111111111111001111111111111111111111111111111111101111111;281124
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;311860
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;389644
11111111111110111111111101111111111111110110000011111111011100111111111111111111111001111111110011111111111111111111111101111111;234334
11111111111110111111111111111111111111110111111111111111111111111111111111111111111001111111111111111111111111111111111111111111;406678
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;337066
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;265805
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;662603
11111111111110111111000011111111111111110111110011111000011111011111111000001111111001111100111111001110011111111111111101111111;224206
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;668792
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;445725
11111111111110111111111111111111111111110111100011111111111111011111111111111111111111111111111111111111111111111111111111111111;258746
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;365293
11111111111110111111000011111111111111110111100011111000011111011111111000001111111001111100111111001110011111111111111101111110;210318
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;441263
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;232233
11111111111110111111001111111111111111110111111100000011000000000000000000001111111001111100001100110000001111111111111101111111;206360
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;300518
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;383463
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;321536
11111111111110111111111101111111111111110110000011111111111111011111111111111111111001111111110011111111111111111111111101111111;246649
11111111111110111111111111111111111111110111100011100111011111111111111111111111111001111111111111111111111111111111111101111111;282342
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;397757
11111111111110111111111111111111111111110111110011111011111111111111111111111111111001111111111111111111101111111111111101111111;248391
11111111111110111111110011111111111111110111111111111100011111111111111111111111111001111111111111001111111111111111111111111111;274496
11111111111110111111111111111111111111110111110011111011111111111111111111111111111001111111111111111111111111111111111111111111;285583
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111111111111;306001
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;266462
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111111111111;314646
11111111111110111111000011111111111111110111110000000000011111011111111000001111111001111100111100001110001111111111111101111111;207429
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;276265
11111111111110111111111111111111111111110111110011100111011100111111111111111111111001111111111111111111111111111111111101111111;282925
11111111111110111111111111111111111111110111111111111011111111111111111111111111111001111111111111111111111111111111111101111111;295501
11111111111110111111001101111111111111110110000011111011011111000000000000001111111001111100110011110000011111111111111101111111;202673
11111111111110111111111111111111111111110111111111100111011111111111111111111111111111111111111111111111111111111111111101111111;270673
11111111111110111111111111111111111111110111110011111011111111111111111111111111111111111111111111111111111111111111111101111111;324236
11111111111110111111111111111111111111110111111111111011111111011111111000001111111111111111111111111110011111111111111111111111;284186
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111101111111;378286
11111111111110111111111111111111111111110111110011100111011111111111111111111111111111111111111111111111111111111111111101111111;310363
11111111111110111111111111111111111111110111110011111111111100111111111111111111111111111111111111111111111111111111111101111111;281900
11111111111110111111111101111111111111110110000011111011111111011111111000001111111001111111110011111110011111111111111101111110;227577
11111111111110111111111111111111111111110111110011100111011100111111111111111111111001111111111111111111111111111111111101111111;268583
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;551496
11111111111110111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111;569841
11111111111110111111110011111111111111110111111111111100011111011111111111111111111001111111111111001111111111111111111111111111;248421
11111111111110111111110011111111111111110111110011111100000000011111111111111111111001111111001111000001111111111111111101111111;221083
11111111111110111111111101111111111111110110000000000011011100111111111111111111111001111111110000111111111111111111111101111111;250952
11111111111110111111111111111111111111110111111111111011111111011111111000001111111111111111111111111110011111111111111111111111;285138
11111111111110111111111111111111111111110111110011100111011111111111111111111111111111111111111111111111111111111111111101111111;302293
11111111111110111111110001111111111111110110000000000000000000000000000000001111111001111111000000000000011111111111111101111110;199913
11111111111110111111111111111111111111110111100011111011111111111111111111111111111111111111111111111111111111111111111101111111;282785
11111111111110111111111111111111111111110111111111111011111111111111111111111111111001111111111111111111111111111111111101111111;279354
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111101111111;453725
11111111111110111111111111111111111111110111110011111111111111111111111111111111111111111111111111111111111111111111111111111111;576801
11111111111110111111111111111111111111110111110011111111111111111111111111111111111001111111111111111111111111111111111111111111;448519
