2650 151;
1111111111111101111111100000000000000000000000000000000000000000000000000000000000000000000000000111110000111111111111100111110000000000000000000000000;191912
1111111111111101111111100000000000000000000000000000000000000000000000000000000000000000000000000111110000111111111111100111110000000000000000000000000;189952
1111111111111111111111111011011101111011111111111111111111111111111111000000111111111111100111111111111111111111111111100111111111111111111100111100111;250379
1111111111111111111111111011011101111011111111111111111111111110000000000000111111111111111111111111111111111111111111100111111111111111100000001100111;224390
1111111111111111111111111011111101111111111111111111111111111111101111111111111111111111111111111111111111111111111111100111111111111111111100111100111;238398
1111111111111111111111111011111101111111111111111111111111111111111111000000111111111111111111111111111111111111111111100111111111111111111100111100111;357096
1111111111111111111111111011011101111011111111111111111111111111111111000000111111111111111111111111111111111111111111100111111111111111111100111100111;303646
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;255897
1111111111111111111111111011011101111011111111111110000011111110000000000000111111111111111111111111111111111111111111100111111111111111100000001100110;213230
1111111111111111111111100000001101101011111111111110000011111111110000000000000000000011111111111111110000111111111111100111111111111100011100110000000;204931
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;275461
1111111111111111111111111011011101111011111111111111111111111111101111111111111111111111100111111111111111111111111111100111111111111111111100111100111;253758
1111111111111111111111111011111101111111111111111111111111111111111111111111110000000111100111111111111111111111111111100111111111111111111100111100111;247752
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111100111111111100111100111;226983
1111111111111111111111111011011101111011111111111111111111111111111111000000111111111111111111111111111111111111111111100111111111111111111100111100111;234107
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;386656
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;494624
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;284113
1111111111111101111111100000001101111011111111111111111111111111111111000000110000000111100111101111111111111111111111100111111111111111111100111100111;230970
1111111111111111111111111011111101111111111111111111111111111111110000000000111111111111111111111111111111111111111111100111111111111111111100111100111;240603
1111111111111111111111111011011101111011111111111111111111111111111111000000111111111111111111111111111111111111111111100111111111111111111100111100111;312702
1111111111111111111111111011111101111111111111111111111111111111101111111111111111111111111111111111111111111111111111100111111111111111111100111100111;252594
1111111111111111111111111011011101111011111111111111111111111111101111111111111111111111100111111111111111111111111111100111111111111111111100111100111;231733
1111111111111111111111111011011101111011111111111111111111111111111111111111111111111111111111111111111111111111111111100111111111111111111100111100111;339956
1111111111111111111111111011111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111100111111100111111111100111100111;219072
1111111111111111111111111011111101111111111111111110000011111111111111111111000000000011111111111111110000111111111111100111111111111100011100110000000;213877
1111111111111111111111111011011101111011111111111111111111111111111111000000111111111111111111111111111111111111111111100111111111111111111100111100111;264169
