1608 65;
11111111111111011111011111111111111010101111000000111111111111111;111638
11111100000000000000000000111111000000000111000000111111111111111;111435
11111100000000000000000000111111000000000111000000111111111111111;111473
11111100000000000000000000111111000000000111000000111111111111111;111453
11111111111110111110111111111111111011000111000000111111111111111;111601
11111100000000000000000000111111000000000111000000111111111111111;111432
11111100000000000000000000111111000000000111000000111111111111111;111459
11111100000000000000000000111111000000000111000000111111111111111;111460
11111100000000000000000000111111000000000111000000111111111111111;111460
11111111111110111110111111111111111010110111000000111111111111111;111634
11111100000000000000000000111111000000000111000000111111111111111;111462
11111100000000000000000000111111000000000111000000111111111111111;111466
11111111111111011111011100111111111011000111000000111111111111111;111625
11111100000000000000000000111111000000000111000000111111111111111;111453
11111100000000000000000000111111000000000111000000111111111111111;111473
11111100000000000000000000111111000000000111000000111111111111111;111466
11111100000000000000000000111111000000000111000000111111111111111;111469
11111100000000000000000000111111000000000111000000111111111111111;111453
11111111111111011111011100111111111011000111000000111111111111111;111605
11111100000000000000000000111111000000000111000000111111111111111;111456
11111100111111011111011100111111111010101111000000111111111111111;111580
11111100000000000000000000111111000000000111000000111111111111111;111460
11111100000000000000000000111111000000000111000000111111111111111;111459
11111100000000000000000000111111000000000111000000111111111111111;111463
11111111111110111110111111111111111010110111000000111111111111111;111584
11111100111111011111011100111111111010101111000000111111111111111;111564
11111100000000000000000000111111000000000111000000111111111111111;111470
11111100000000000000000000111111000000000111000000111111111111111;111473
11111100000000000000000000111111000000000111000000111111111111111;111463
11111111111110111110110011111111111010101111000000111111111111111;111595
11111100000000000000000000111111000000000111000000111111111111111;111438
11111111111110111110111111111111111010110111000000111111111111111;111640
11111100000000000000000000111111000000000111000000111111111111111;111445
11111100000000000000000000111111000000000111000000111111111111111;111456
11111100000000000000000000111111000000000111000000111111111111111;111435
11111100000000000000000000111111000000000111000000111111111111111;111469
11111100000000000000000000111111000000000111000000111111111111111;111479
11111100000000000000000000111111000000000111000000111111111111111;111467
11111100000000000000000000111111000000000111000000111111111111111;111456
11111100000000000000000000111111000000000111000000111111111111111;111432
11111100000000000000000000111111000000000111000000111111111111111;111466
11111100000000000000000000111111000000000111000000111111111111111;111459
11111100000000000000000000111111000000000111000000111111111111111;111456
11111100000000000000000000111111000000000111000000111111111111111;111445
11111100000000000000000000111111000000000111000000111111111111111;111466
11111100000000000000000000111111000000000111000000111111111111111;111414
11111100000000000000000000111111000000000111000000111111111111111;111469
11111100000000000000000000111111000000000111000000111111111111111;111460
11111100000000000000000000111111000000000111000000111111111111111;111459
11111100000000000000000000111111000000000111000000111111111111111;111438
11111100000000000000000000111111000000000111000000111111111111111;111414
11111100000000000000000000111111000000000111000000111111111111111;111435
