1052 124;
1111111111100100111001100011110000000000000000000000000000000000000000000111111110010011111100111110000000000000000000111111;246914
1111111100100111111001111110000011001111111101111100000000000000000001111111100110010011111111111001111111111111111111111111;247810
1111111111100100111001111111001111001111111101111101111111111111111101111111100110010011111100111111111111111111111111111111;304006
1111111111100100110001100011110000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000011;141654
1111111111100100111111111110000011111111111101111100000000000000000001111111111110010011111100111001111111111111111111111111;249098
1111111111100111111001111110000011001111111111111101111111111111111101111111111110010011111100111001111111111111111111111111;355054
1111111111100100111001111111001111001111111101111100000000000000000001111111100110010011111111111111111111111111111111111111;266024
1111111111100100111001100011110000000000000000000000000000000000000000000111111110010011111100111110000000000000000000111111;242920
1111111111100111111001111110000000000000001110000000000000000000000001111111100110010011111111111001111111111111111111111111;257440
1111111111100100111001100011110000000000000000000000000000000000000000000111111110010011111100111110000000000000000000111111;244882
1111110111100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;140508
1111111100100100111111111100000011111111111101111100000000000000000001111111100110010011111100111001111111111111111111111111;252334
1111111111100100111111111100000011111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;253853
1111111111100100111001111101001111111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;355134
1111111111100100111001111111001111001111110000000001111111111111111101111111100110010011111111111111111111111111111111111111;501242
1111111100100100111111111100000011111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;485560
1111110100100111111001100010000000000000000000000000000000000000000000000111100110010011111111100000000000000000000000111111;228866
1111111111100100111001111111001111001111110000000001111111111111111101111111100110010011111100111111111111111111111111111111;498894
1111111111111100111001111100000011001111110000000001111111111111111101111111100110010011111100111001111111111111111111111111;241300
1111111111100100111001111111001111001111111101111100000000000000000001111111100110010011111100111111111111111111111111111111;264621
1111111100100100111111111100000011111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;294592
1111111111100100111001111111001111001111110000000001111111111111111101111111100110010011111100111111111111111111111111111111;498894
1111111100100100111111111100000011111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;328899
1111111111100100111001111111001111001111111101111100000000000000000001111111100110010011111100111111111111111111111111111111;264621
1111111111100100111111111100000011111111111101111101111111111111111101111111100110010011111100111001111111111111111111111111;680489
1111110111100100111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;142653
